dataset,model,pred_len,seq_len,seed,training_time,mse,mae,swd,ept,crps,nll,experiment,eval_tag,sigma,fern_nll
ou_ode0,fern,64,336,7,135.99906969070435,0.19300577044487,0.35193222761154175,0.12312053889036179,9.369717597961426,0.2613160014152527,0.9452760219573975,ou,fern_nll,0.0,-0.8182143568992615
ou_ode0,fern,192,336,1955,138.2748281955719,0.20235595107078552,0.36115339398384094,0.14171446859836578,9.582158088684082,0.2680942118167877,0.9669704437255859,ou,fern_nll,0.0,-0.8032115697860718
ou_ode0,fern,192,336,7,138.4720528125763,0.20292501151561737,0.3616660535335541,0.138037770986557,9.336491584777832,0.26801374554634094,0.9533768892288208,ou,fern_nll,0.0,-0.802085280418396
ou_param_shock_ode0,fern,64,336,1955,182.18515467643738,0.24164490401744843,0.3952747583389282,0.1603931337594986,10.49531078338623,0.29753538966178894,1.2451876401901245,ou_param_shock,fern_nll,0.0,-0.7304096221923828
ou_param_shock_ode0,fern,64,336,7,131.53156876564026,0.19311083853244781,0.35214951634407043,0.12988144159317017,12.139552116394043,0.26069343090057373,0.9094873070716858,ou_param_shock,fern_nll,0.0,-0.7880492806434631
ou_param_shock_ode0,fern,192,336,1955,118.61298036575317,0.20698732137680054,0.3660675585269928,0.1533161699771881,9.816027641296387,0.270459920167923,0.939207911491394,ou_param_shock,fern_nll,0.0,-0.7730821371078491
ou_param_shock_ode0,fern,192,336,7,131.30874061584473,0.20180393755435944,0.3602096438407898,0.13541634380817413,12.709566116333008,0.2664858102798462,0.9305688738822937,ou_param_shock,fern_nll,0.0,-0.7847679853439331
rossler_ode0,fern,64,336,1955,252.6883111000061,0.03401292860507965,0.12658798694610596,0.027817975729703903,64.0,0.11248326301574707,-0.06636276096105576,rossler,fern_nll,0.0,-1.5941846370697021
rossler_ode0,fern,64,336,7,880.3124632835388,0.014649542979896069,0.08368951082229614,0.01263980008661747,64.0,0.06827522069215775,-0.6294830441474915,rossler,fern_nll,0.0,-2.1336565017700195
rossler_ode0,fern,192,336,1955,1073.6428785324097,0.018404176458716393,0.10132387280464172,0.01640242710709572,192.0,0.07446117699146271,-0.5888274312019348,rossler,fern_nll,0.0,-2.1997108459472656
rossler_ode0,fern,192,336,7,1057.5996913909912,0.01342292781919241,0.0889304131269455,0.011845571920275688,192.0,0.06788445264101028,-0.6608945727348328,rossler,fern_nll,0.0,-2.2253668308258057
rossler_param_shock_ode0,fern,64,336,1955,290.61429953575134,0.07906954735517502,0.13556714355945587,0.0668807327747345,63.731990814208984,0.11040885746479034,-0.12318719178438187,rossler_param_shock,fern_nll,0.0,-1.761971116065979
rossler_param_shock_ode0,fern,64,336,7,912.8590748310089,0.0394476093351841,0.09387537091970444,0.03423153981566429,63.955421447753906,0.07897818088531494,-0.5146822929382324,rossler_param_shock,fern_nll,0.0,-2.1004395484924316
rossler_param_shock_ode0,fern,192,336,1955,1019.0893001556396,0.03856169059872627,0.12300819903612137,0.02584270015358925,192.0,0.09802131354808807,-0.32174235582351685,rossler_param_shock,fern_nll,0.0,-1.977232575416565
rossler_param_shock_ode0,fern,192,336,7,564.8415672779083,0.13442863523960114,0.2555747330188751,0.1094144731760025,191.070068359375,0.19013749063014984,0.3468325436115265,rossler_param_shock,fern_nll,0.0,-1.3169432878494263
seasonal_ar_ode0,fern,64,336,1955,201.14183259010315,0.06073746085166931,0.1971140205860138,0.018213611096143723,64.0,0.14145131409168243,0.037448082119226456,seasonal_ar,fern_nll,0.0,-0.9783506989479065
seasonal_ar_ode0,fern,64,336,7,305.00110149383545,0.06590716540813446,0.20491157472133636,0.0225074365735054,64.0,0.14726445078849792,0.09316349029541016,seasonal_ar,fern_nll,0.0,-0.9770933985710144
seasonal_ar_ode0,fern,192,336,1955,313.71864223480225,0.054271504282951355,0.18636658787727356,0.010923448018729687,192.00001525878906,0.13353322446346283,-0.019820868968963623,seasonal_ar,fern_nll,0.0,-1.0505856275558472
seasonal_ar_ode0,fern,192,336,7,312.52387166023254,0.054561711847782135,0.18680696189403534,0.01132144220173359,192.00001525878906,0.13391074538230896,-0.015994081273674965,seasonal_ar,fern_nll,0.0,-1.0453652143478394
seasonal_ar_param_shock_ode0,fern,64,336,1955,95.77582383155823,0.3393687903881073,0.4669153392314911,0.1215292364358902,64.0,0.33782100677490234,0.976108729839325,seasonal_ar_param_shock,fern_nll,0.0,-0.06620915979146957
seasonal_ar_param_shock_ode0,fern,64,336,7,250.6052167415619,0.3446851968765259,0.47070562839508057,0.12229158729314804,64.0,0.3474559485912323,1.1711452007293701,seasonal_ar_param_shock,fern_nll,0.0,-0.14957332611083984
seasonal_ar_param_shock_ode0,fern,192,336,1955,297.14984369277954,0.32383403182029724,0.45569533109664917,0.06383487582206726,192.00001525878906,0.3347057104110718,1.081252932548523,seasonal_ar_param_shock,fern_nll,0.0,-0.22900879383087158
seasonal_ar_param_shock_ode0,fern,192,336,7,308.490207195282,0.32780322432518005,0.458659827709198,0.06834153831005096,192.00001525878906,0.3370130658149719,1.093154788017273,seasonal_ar_param_shock,fern_nll,0.0,-0.22377732396125793
slds_ode0,fern,64,336,1955,103.54551982879639,2.5501389503479004,1.204246997833252,2.0031278133392334,21.76129150390625,0.9982419610023499,5.6298017501831055,slds,fern_nll,0.0,3.7090487480163574
slds_ode0,fern,64,336,7,96.47969937324524,2.556842088699341,1.2093976736068726,1.8318203687667847,23.80583953857422,1.0028550624847412,5.556809425354004,slds,fern_nll,0.0,3.6226425170898438
slds_ode0,fern,192,336,1955,98.2683653831482,2.8992154598236084,1.2799769639968872,2.1843278408050537,30.202407836914062,1.0624842643737793,5.6823039054870605,slds,fern_nll,0.0,4.202087879180908
slds_ode0,fern,192,336,7,96.28721284866333,2.8875844478607178,1.2754687070846558,2.2200989723205566,31.174713134765625,1.0575789213180542,5.612777233123779,slds,fern_nll,0.0,4.181314945220947
slds_param_shock_ode0,fern,64,336,1955,85.20185112953186,2.2069199085235596,1.184654712677002,1.4397578239440918,9.96903133392334,0.96555095911026,4.4830002784729,slds_param_shock,fern_nll,0.0,3.2971031665802
slds_param_shock_ode0,fern,64,336,7,94.30208253860474,2.1549367904663086,1.176641583442688,1.494594931602478,9.935164451599121,0.959101140499115,4.4806013107299805,slds_param_shock,fern_nll,0.0,2.975919246673584
slds_param_shock_ode0,fern,192,336,1955,93.95343518257141,2.2309515476226807,1.2010968923568726,1.5933234691619873,10.580133438110352,0.9748900532722473,4.356889724731445,slds_param_shock,fern_nll,0.0,3.095127820968628
slds_param_shock_ode0,fern,192,336,7,91.50598120689392,2.223945140838623,1.199547290802002,1.6072585582733154,10.995196342468262,0.9733535647392273,4.340432643890381,slds_param_shock,fern_nll,0.0,3.083188533782959
slds_switch_ode0,fern,64,336,1955,109.33682656288147,3.826798439025879,1.4040919542312622,3.109640121459961,25.442108154296875,1.1886156797409058,7.67391300201416,slds_switch,fern_nll,0.0,5.82131814956665
slds_switch_ode0,fern,64,336,7,93.75788450241089,3.92169189453125,1.433031678199768,3.2539241313934326,24.93260955810547,1.2141790390014648,7.73152494430542,slds_switch,fern_nll,0.0,5.887822151184082
slds_switch_ode0,fern,192,336,1955,98.38354778289795,4.682404041290283,1.542222499847412,3.525449275970459,26.938175201416016,1.319706916809082,8.833776473999023,slds_switch,fern_nll,0.0,7.147767066955566
slds_switch_ode0,fern,192,336,7,88.56987929344177,4.653135299682617,1.5205950736999512,3.6784400939941406,28.91082191467285,1.3011847734451294,8.802796363830566,slds_switch,fern_nll,0.0,7.109046936035156
