dataset,model,flavor,pred_len,seq_len,sigma,seed,mse,mae,crps,swd,ept
rossler,chronos-bolt-base,chronos,192,336,0.0,0,107.68940969838812,2.818699322084062,2.376588679601991,97.53150939941406,159.01116943359375
rossler,chronos-bolt-small,chronos_small,64,336,0.0,0,7.668507374091457,0.7157278282374475,0.58462917331897,6.302353858947754,62.320838928222656
rossler,chronos-bolt-small,chronos_small,192,336,0.0,0,105.44163044060105,3.1805586782639512,2.686166467719295,93.5748519897461,152.4485321044922
rossler,chronos-2,chronos2,64,336,0.0,0,1.0350584756591898,0.2474072573645021,0.20639878349991828,0.7648332118988037,63.20452117919922
rossler,chronos-2,chronos2,192,336,0.0,0,12.694403108833418,1.3151173361100235,1.088659450571866,9.783154487609863,177.28810119628906
rossler_param_shock,chronos-bolt-base,chronos,64,336,0.0,0,64.9661338339991,1.2202836105901227,1.0439016690775247,54.16044616699219,61.787567138671875
rossler_param_shock,chronos-bolt-base,chronos,192,336,0.0,0,443.5179988454056,4.409521678137401,3.8972493161046087,412.54571533203125,154.6961669921875
rossler_param_shock,chronos-bolt-small,chronos_small,64,336,0.0,0,64.44416106731633,1.2425540577281604,1.079159493010067,53.53248596191406,62.02967834472656
rossler_param_shock,chronos-bolt-small,chronos_small,192,336,0.0,0,606.8464525838424,4.93493798437952,4.8688106464437455,566.1566162109375,147.3550262451172
rossler_param_shock,chronos-2,chronos2,64,336,0.0,0,10.999267479001166,0.4688816745368364,0.3940820171242686,7.569887161254883,62.69894790649414
rossler_param_shock,chronos-2,chronos2,192,336,0.0,0,43.858869038482645,1.9151835390728105,1.6737248613253621,35.74723434448242,176.39906311035156
rossler,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,2.131012565029123,0.2577307378452519,0.2298315599649525,1.743445634841919,63.12215042114258
rossler,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,12.229699289272451,1.3171178446237757,1.088252062122545,11.064620018005371,172.096435546875
rossler_param_shock,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,31.56536950835285,0.624559932483505,0.5620428663367335,24.317068099975586,62.46329116821289
rossler_param_shock,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,65.04785236386643,2.1031774831282823,1.810354454564262,57.81109619140625,170.3871307373047
seasonal_ar,chronos-bolt-base,chronos,64,336,0.0,0,0.05925159412945712,0.1949427848084556,0.1515232880806265,0.0259189922362566,64.0
seasonal_ar,chronos-bolt-base,chronos,192,336,0.0,0,0.06563784761309664,0.20533607892593955,0.15909139807463418,0.023444654420018196,192.0
seasonal_ar,chronos-bolt-small,chronos_small,64,336,0.0,0,0.058081308367363506,0.19305236582297808,0.15001746411342262,0.024713076651096344,64.0
seasonal_ar,chronos-bolt-small,chronos_small,192,336,0.0,0,0.06047983372465093,0.19748387824679822,0.15313341870164196,0.01975720189511776,192.0
seasonal_ar,chronos-2,chronos2,64,336,0.0,0,0.05718056201140842,0.19193619744875223,0.14835077389493428,0.023061856627464294,64.0
seasonal_ar,chronos-2,chronos2,192,336,0.0,0,0.05846964044773832,0.1938925101844816,0.14985511817317362,0.01750141754746437,192.0
seasonal_ar_param_shock,chronos-bolt-base,chronos,64,336,0.0,0,0.4067105260153933,0.5085685028562537,0.4041969621612502,0.19885268807411194,63.745479583740234
seasonal_ar_param_shock,chronos-bolt-base,chronos,192,336,0.0,0,0.4353061200637586,0.5257451006867764,0.4144448846457819,0.15404389798641205,189.34092712402344
seasonal_ar_param_shock,chronos-bolt-small,chronos_small,64,336,0.0,0,0.38199475319696313,0.4947294077342403,0.3868359703318943,0.17414650321006775,63.9814453125
seasonal_ar_param_shock,chronos-bolt-small,chronos_small,192,336,0.0,0,0.39875148527125415,0.5049753585243418,0.3934589198959393,0.1341799646615982,191.58206176757812
seasonal_ar_param_shock,chronos-2,chronos2,64,336,0.0,0,0.3725145296410761,0.4893264446113361,0.37993536264299776,0.162963405251503,64.0
seasonal_ar_param_shock,chronos-2,chronos2,192,336,0.0,0,0.39879799211238615,0.5031428622136604,0.3928248250164401,0.1328224390745163,191.7532958984375
seasonal_ar,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,0.056085894892717064,0.18964531725639394,0.14636793432422301,0.021863052621483803,64.0
seasonal_ar,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,0.059669584327757014,0.1961136250751963,0.15102816960399756,0.01730160601437092,192.0
seasonal_ar_param_shock,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,0.3430623274321334,0.4701444007009693,0.3634130536772658,0.1460666060447693,64.0
seasonal_ar_param_shock,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,0.3680426537366543,0.48657766237165506,0.3769368343319453,0.11408822238445282,191.94224548339844
slds,chronos-bolt-base,chronos,64,336,0.0,0,4.281910969800432,1.5708113115929514,1.2305019130092025,3.5426080226898193,19.722169876098633
slds,chronos-bolt-base,chronos,192,336,0.0,0,5.478967658251936,1.7935159484183052,1.4217387883496502,4.269217014312744,21.270009994506836
slds,chronos-bolt-small,chronos_small,64,336,0.0,0,3.5092026177868174,1.4241332644853673,1.1297304263350851,3.0029263496398926,20.928163528442383
slds,chronos-bolt-small,chronos_small,192,336,0.0,0,4.08870475173842,1.544105125254612,1.2296832150420156,3.4077703952789307,23.081560134887695
slds,chronos-2,chronos2,64,336,0.0,0,3.350055497674915,1.3771119739303808,1.1024353693316484,2.883850574493408,22.415794372558594
slds,chronos-2,chronos2,192,336,0.0,0,3.724266724745916,1.4630280726264353,1.2788994070123636,3.0999650955200195,25.358156204223633
slds_param_shock,chronos-bolt-base,chronos,64,336,0.0,0,3.2935561412408396,1.4261039621369482,1.108313044658964,2.617734670639038,10.461464881896973
slds_param_shock,chronos-bolt-base,chronos,192,336,0.0,0,3.351101098129855,1.4545855536649293,1.1353504417998208,2.325026035308838,10.482775688171387
slds_param_shock,chronos-bolt-small,chronos_small,64,336,0.0,0,3.134582506827691,1.3973062258465418,1.0901318164409397,2.5940937995910645,10.31160831451416
slds_param_shock,chronos-bolt-small,chronos_small,192,336,0.0,0,3.2650662273702005,1.4302626032959727,1.1237009506155533,2.6232447624206543,10.36119556427002
slds_param_shock,chronos-2,chronos2,64,336,0.0,0,2.6160038894522657,1.2851252415200622,0.999470969844613,2.130096912384033,11.151284217834473
slds_param_shock,chronos-2,chronos2,192,336,0.0,0,2.676227908406617,1.3028368449058134,1.0475663327156228,2.04410982131958,11.255319595336914
slds_switch,chronos-bolt-base,chronos,64,336,0.0,0,6.269144709738632,1.891609477724607,1.4929626719311915,5.3574652671813965,23.79781150817871
slds_switch,chronos-bolt-base,chronos,192,336,0.0,0,8.567726678922345,2.2139666968606204,1.7766123300506955,6.898502826690674,25.719858169555664
slds_switch,chronos-bolt-small,chronos_small,64,336,0.0,0,5.832464835169653,1.7855198848372296,1.4293613193094106,5.09142541885376,25.06279754638672
slds_switch,chronos-bolt-small,chronos_small,192,336,0.0,0,7.8467430158548765,2.0884807500352895,1.686720640161721,6.527425765991211,27.11296844482422
slds_switch,chronos-2,chronos2,64,336,0.0,0,4.912288589550131,1.6426676351835794,1.3255320562281911,4.554461479187012,25.659847259521484
slds_switch,chronos-2,chronos2,192,336,0.0,0,6.6118375449034055,1.9151537481975973,1.7054756897319534,5.892745018005371,26.898176193237305
slds,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,3.0178636601717557,1.3036526045722128,1.0332515037252605,2.625518321990967,24.47430992126465
slds,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,3.47301254092097,1.4289691413588235,1.1497649697486874,2.865628719329834,30.127153396606445
slds_param_shock,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,2.2909524393127034,1.2059178080136836,0.9322588417101315,1.9148064851760864,11.494767189025879
slds_param_shock,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,2.366662161690848,1.2281743403585808,0.9514017073397941,2.042293071746826,11.519757270812988
slds_switch,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,4.428660958069603,1.5416568298775395,1.2351788079080754,3.897075653076172,26.828258514404297
slds_switch,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,5.614372395132491,1.7504886290947355,1.4268214535326702,4.252449989318848,28.5506591796875
