dataset,model,pred_len,seq_len,seed,training_time,mse,mae,swd,ept,crps,nll,experiment,eval_tag,sigma,fern_nll
seasonal_ar_ode0,fern,64,336,7,199.79427766799927,0.05331955477595329,0.18481667339801788,0.019343646243214607,64.0,0.1324559450149536,0.026673324406147003,seasonal_ar,crps,,
seasonal_ar_ode0,fern,64,336,20,133.12187933921814,0.05566463991999626,0.1887647807598114,0.019291481003165245,64.0,0.13555453717708588,0.05731959640979767,seasonal_ar,crps,,
seasonal_ar_ode0,fern,192,336,1955,83.67704510688782,0.053235553205013275,0.18458393216133118,0.012514459900557995,192.00001525878906,0.1318986713886261,0.006356968078762293,seasonal_ar,crps,,
seasonal_ar_ode0,fern,192,336,7,85.17912578582764,0.05305755138397217,0.18443380296230316,0.011998889036476612,192.00001525878906,0.13175445795059204,0.0051206364296376705,seasonal_ar,crps,,
seasonal_ar_ode0,fern,192,336,20,83.02410864830017,0.052905961871147156,0.18416617810726166,0.01228354126214981,192.00001525878906,0.13155032694339752,0.004764070734381676,seasonal_ar,crps,,
seasonal_ar_param_shock_ode0,fern,64,336,1955,133.05264902114868,0.34131377935409546,0.46754834055900574,0.13358622789382935,64.0,0.3364531993865967,0.9712042212486267,seasonal_ar_param_shock,crps,,
seasonal_ar_param_shock_ode0,fern,64,336,7,132.52690386772156,0.33352166414260864,0.4628978371620178,0.12411816418170929,64.0,0.33275023102760315,0.9581120610237122,seasonal_ar_param_shock,crps,,
seasonal_ar_param_shock_ode0,fern,64,336,20,284.75108671188354,0.321485698223114,0.45494186878204346,0.12838371098041534,64.0,0.32657840847969055,0.9327077865600586,seasonal_ar_param_shock,crps,,
seasonal_ar_param_shock_ode0,fern,192,336,1955,392.87072801589966,0.3227163851261139,0.45507439970970154,0.07654140144586563,192.00001525878906,0.325692355632782,0.9098546504974365,seasonal_ar_param_shock,crps,,
seasonal_ar_param_shock_ode0,fern,192,336,7,86.54632711410522,0.3443710207939148,0.47090014815330505,0.08989886194467545,192.00001525878906,0.3398275077342987,1.0040620565414429,seasonal_ar_param_shock,crps,,
seasonal_ar_param_shock_ode0,fern,192,336,20,123.13546347618103,0.33675143122673035,0.46534669399261475,0.08837271481752396,192.00001525878906,0.3329903185367584,0.9334230422973633,seasonal_ar_param_shock,crps,,
